omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
SPOOR_WISSEL_WISSELBAK_VOESTALPINE,,_,,_,SB,_,SPOOR,_,WISSEL,_,WISSELBAK,_,VOESTALPINE,_,,_,,-,,-,,,SSB-WISSEL_BAK_VS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4ae30c8f-03d7-4c88-84c2-c49871e9858e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f5e1202d-4212-40ad-9560-96d47230c22b
SPOOR_WISSEL_WISSELBAK_H EN K,,_,,_,SB,_,SPOOR,_,WISSEL,_,WISSELBAK,_,H EN K,_,,_,,-,,-,,,SSB-WISSEL_BAK_HW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/32a91435-c54c-4c60-a502-012c8b211594,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f5e1202d-4212-40ad-9560-96d47230c22b
SPOOR_DWARSLIGGER_DUOBLOK_RHEDACITY,,_,,_,SB,_,SPOOR,_,DWARSLIGGER,_,DUOBLOK,_,RHEDACITY,_,,_,,-,,-,,,SSB-DWARSLIGGER_DUO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/83cd231a-5108-4b99-acc9-9ad5e3ffcf1b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/eeb95671-d4ef-42fe-b52d-840b12b13dcf
SPOOR_DWARSLIGGER_MONOBLOK_HOUT,,_,,_,SB,_,SPOOR,_,DWARSLIGGER,_,MONOBLOK,_,HOUT,_,,_,,-,,-,,,SSB-DWARSLIGGER_HOUTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3b8ab46d-0f3d-4399-ba3f-507c7b7ba808,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3a0c7588-6a4c-49c8-ac1a-2faa025050b5
SPOOR_DWARSLIGGER_MONOBLOK_KUNSTSTOF,,_,,_,SB,_,SPOOR,_,DWARSLIGGER,_,MONOBLOK,_,KUNSTSTOF,_,,_,,-,,-,,,SSB-DWARSLIGGER_KUNSTSTOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c3b027fb-161f-48c3-9839-0ae5b4260c9c,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3a0c7588-6a4c-49c8-ac1a-2faa025050b5
SPOOR_DWARSVERBINDING_STRIP_GEISOLEERD,,_,,_,SB,_,SPOOR,_,DWARSVERBINDING,_,STRIP,_,GEISOLEERD,_,,_,,-,,-,,,SSB-TRAVERSESTANG_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b462771d-ba5e-41fa-a355-6c2935579d1b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/509f0d1d-6f3e-49d3-aefa-a0f02d008d4a
SPOORSTAAF_DOORSNEDE_49E1,,_,,_,SB,_,SPOORSTAAF,_,DOORSNEDE,_,49E1,_,,_,,_,,-,,-,,,SSB-SPOORSTAAF_49E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/563c0e09-8024-471e-873e-6bc628abaa1a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/269aa371-3ca9-4e9d-9782-459b59d293eb
SPOORSTAAF_DOORSNEDE_59R2,,_,,_,SB,_,SPOORSTAAF,_,DOORSNEDE,_,59R2,_,,_,,_,,-,,-,,,SSB-SPOORSTAAF_59R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/56b3d806-5102-4be6-871c-95b9aa0d67fc,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/269aa371-3ca9-4e9d-9782-459b59d293eb
SPOORSTAAF_DOORSNEDE_41E1,,_,,_,SB,_,SPOORSTAAF,_,DOORSNEDE,_,41E1,_,,_,,_,,-,,-,,,SSB-SPOORSTAAF_41E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d0fea367-6e54-4683-b5c5-0cbbc4b51259,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/269aa371-3ca9-4e9d-9782-459b59d293eb
SPOORSTAAF_DOORSNEDE_105C1,,_,,_,SB,_,SPOORSTAAF,_,DOORSNEDE,_,105C1,_,,_,,_,,-,,-,,,SSB-SPOORSTAAF_105C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c45fce47-1844-4af0-82fb-81ed0b85e9b2,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/269aa371-3ca9-4e9d-9782-459b59d293eb
SPOORSTAAF_DOORSNEDE_60R1,,_,,_,SB,_,SPOORSTAAF,_,DOORSNEDE,_,60R1,_,,_,,_,,-,,-,,,SSB-SPOORSTAAF_60R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/2890927a-bd94-4799-aded-79a6688d4a19,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/269aa371-3ca9-4e9d-9782-459b59d293eb
SPOORSTAAF_DOORSNEDE_60R2,,_,,_,SB,_,SPOORSTAAF,_,DOORSNEDE,_,60R2,_,,_,,_,,-,,-,,,SSB-SPOORSTAAF_60R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/30f963bd-de59-42fa-9cc9-98b0d700a846,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/269aa371-3ca9-4e9d-9782-459b59d293eb
SPOORSTAAF_DOORSNEDE_310C1,,_,,_,SB,_,SPOORSTAAF,_,DOORSNEDE,_,310C1,_,,_,,_,,-,,-,,,SSB-SPOORSTAAF_310C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/11b0b002-2d25-42eb-9272-fde1d3e0f24f,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/269aa371-3ca9-4e9d-9782-459b59d293eb
SPOORSTAAF_DETAIL_49E1,,_,,_,SB,_,SPOORSTAAF,_,DETAIL,_,49E1,_,,_,,_,,-,,-,,,SSB-SPOORSTAAF_49E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a74b4b5c-e900-4c42-b138-7f1961bcfe18,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f97be1e3-55fc-4eec-a66a-e75b32b9f055
