omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
VERKEERSTEKEN_C,,_,,_,VV,_,VERKEERSTEKEN,_,C,_,,_,,_,,_,,-,,-,,,SVV-VERKEERSTEKEN_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/887bcff4-af22-475d-b5de-4f27df33a0e3,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bf0c5f8d-509e-43e9-99cf-39881d60a51f
VERKEERSTEKEN_E,,_,,_,VV,_,VERKEERSTEKEN,_,E,_,,_,,_,,_,,-,,-,,,SVV-VERKEERSTEKEN_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/397a1995-b520-48f4-b647-59c385488ccb,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bf0c5f8d-509e-43e9-99cf-39881d60a51f
VERKEERSTEKEN_D,,_,,_,VV,_,VERKEERSTEKEN,_,D,_,,_,,_,,_,,-,,-,,,SVV-VERKEERSTEKEN_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7fc7a239-0e46-4d3e-b638-ac3724fdc097,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bf0c5f8d-509e-43e9-99cf-39881d60a51f
VERKEERSTEKEN_H,,_,,_,VV,_,VERKEERSTEKEN,_,H,_,,_,,_,,_,,-,,-,,,SVV-VERKEERSTEKEN_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/02693c6e-db5c-4691-8806-d22f45d83d79,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bf0c5f8d-509e-43e9-99cf-39881d60a51f
VERKEERSTEKEN_A,,_,,_,VV,_,VERKEERSTEKEN,_,A,_,,_,,_,,_,,-,,-,,,SVV-VERKEERSTEKEN_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/55462d89-fabf-4349-91cb-a461177b7329,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bf0c5f8d-509e-43e9-99cf-39881d60a51f
VERKEERSTEKEN_B,,_,,_,VV,_,VERKEERSTEKEN,_,B,_,,_,,_,,_,,-,,-,,,SVV-VERKEERSTEKEN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1b076125-ac29-4fac-a967-8ad0e1a23877,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bf0c5f8d-509e-43e9-99cf-39881d60a51f
VERKEERSTEKEN_F,,_,,_,VV,_,VERKEERSTEKEN,_,F,_,,_,,_,,_,,-,,-,,,SVV-VERKEERSTEKEN_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/26a7ff81-e38d-47b3-995f-3d20b87a3353,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bf0c5f8d-509e-43e9-99cf-39881d60a51f
MARKERING_BETONNING,,_,,_,VV,_,MARKERING,_,BETONNING,_,,_,,_,,_,,-,,-,,,SVV-MARKERING_BETONNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6d7cace9-79a8-472d-b888-9e0f60894d21,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f49d54d3-957c-4b06-b8df-0005d2cceeb8
MARKERING_BETONNING,,_,,_,VV,_,MARKERING,_,BETONNING,_,,_,,_,,_,,-,,-,,,SVV-BETONNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6d7cace9-79a8-472d-b888-9e0f60894d21,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f49d54d3-957c-4b06-b8df-0005d2cceeb8
VERKEERSTEKEN,,_,,_,VV,_,VERKEERSTEKEN,_,,_,,_,,_,,_,,-,,-,,,SVV-VERKEERSTEKEN_INLAATSEIN-SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bf0c5f8d-509e-43e9-99cf-39881d60a51f,
VERKEERSTEKEN,,_,,_,VV,_,VERKEERSTEKEN,_,,_,,_,,_,,_,,-,,-,,,SVV-VERKEERSTEKEN_SPUISEIN-SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bf0c5f8d-509e-43e9-99cf-39881d60a51f,
