omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
ARMATUUR_SCHIJNWERPER,,_,,_,OV,_,ARMATUUR,_,SCHIJNWERPER,_,,_,,_,,_,,-,,-,,,SOV-ARMATUUR_SCHIJNWERPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2b992b57-8b8e-4ce1-8059-000d695b17b6,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/994a0461-1390-4f22-b28d-14969b9ab478
ARMATUUR_SPOT,,_,,_,OV,_,ARMATUUR,_,SPOT,_,,_,,_,,_,,-,,-,,,SOV-ARMATUUR_SPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/64dc7782-f21e-47e8-9cc6-0c82f3cef456,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/994a0461-1390-4f22-b28d-14969b9ab478
ARMATUUR_BOLDER,,_,,_,OV,_,ARMATUUR,_,BOLDER,_,,_,,_,,_,,-,,-,,,SOV-ARMATUUR_BOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/940cf5e9-a4c7-4ea4-b42a-28c3ed9ec48a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/994a0461-1390-4f22-b28d-14969b9ab478
HULPSTUK_LAS,,_,,_,OV,_,HULPSTUK,_,LAS,_,,_,,_,,_,,-,,-,,,SOV-HULP_LAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c9c8116d-b73b-4dbe-9f0f-528ec2cb4779,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ddf63296-a204-4b6a-836b-ff7c74fb279b
HULPSTUK_MOF,,_,,_,OV,_,HULPSTUK,_,MOF,_,,_,,_,,_,,-,,-,,,SOV-HULP_MOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/dc83bed8-4344-4a7a-99a9-78c5a7365578,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ddf63296-a204-4b6a-836b-ff7c74fb279b
HULPSTUK_AANSLUITPUNT,,_,,_,OV,_,HULPSTUK,_,AANSLUITPUNT,_,,_,,_,,_,,-,,-,,,SOV-HULP_AANSLUITPUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/4b7c5766-efac-498d-9690-876754eb81a1,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ddf63296-a204-4b6a-836b-ff7c74fb279b
AARDING_AARDELECTRODE,,_,,_,OV,_,AARDING,_,AARDELECTRODE,_,,_,,_,,_,,-,,-,,,V-SOV-AARDING_AARDELECTRODE-SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/99981e10-e97a-4f50-a909-07f0c71bfbe1,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8d3c773b-ddb5-47df-8846-5c954fd7eb08
AARDING_AARDELECTRODE,,_,,_,OV,_,AARDING,_,AARDELECTRODE,_,,_,,_,,_,,-,,-,,,SOV-AARDING_AARDELECTRODE-SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/99981e10-e97a-4f50-a909-07f0c71bfbe1,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8d3c773b-ddb5-47df-8846-5c954fd7eb08
KABELROL,,_,,_,OV,_,KABELROL,_,,_,,_,,_,,_,,-,,-,,,SOV-KABELROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d1c0f882-3d62-4243-a019-b42f77254179,
KAST,,_,,_,OV,_,KAST,_,,_,,_,,_,,_,,-,,-,,,SOV-KAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fdabfeba-02ff-4097-8662-f8018506179f,
ARMATUUR,,_,,_,OV,_,ARMATUUR,_,,_,,_,,_,,_,,-,,-,,,SOV-ARMATUUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/994a0461-1390-4f22-b28d-14969b9ab478,
AARDING,,_,,_,OV,_,AARDING,_,,_,,_,,_,,_,,-,,-,,,SOV-AARDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8d3c773b-ddb5-47df-8846-5c954fd7eb08,
LICHTMAST,,_,,_,OV,_,LICHTMAST,_,,_,,_,,_,,_,,-,,-,,,SOV-LICHTMAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c631a9df-6785-47ed-a3be-52e5cff14724,
GRONDSPOT,,_,,_,OV,_,GRONDSPOT,_,,_,,_,,_,,_,,-,,-,,,SOV-GRONDSPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c2961c9e-c81f-4404-bef9-f7f3c7318e79,
