omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
ARMATUUR_SPOT,*,_,**,_,OV,_,ARMATUUR,_,SPOT,_,,_,,_,,_,,-,,-,,,SOV-ARMATUUR_SPOT,*_**_OV_ARMATUUR_SPOT,0.18,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,V-CONTINUOUS-SO,0.35,190,192,190,190,252,CONTINUOUS,,,3533,887.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/64dc7782-f21e-47e8-9cc6-0c82f3cef456,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/994a0461-1390-4f22-b28d-14969b9ab478
ARMATUUR_BOLDER,*,_,**,_,OV,_,ARMATUUR,_,BOLDER,_,,_,,_,,_,,-,,-,,,SOV-ARMATUUR_BOLDER,*_**_OV_ARMATUUR_BOLDER,0.18,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,V-CONTINUOUS-SO,0.35,190,192,190,190,252,CONTINUOUS,,,888,887.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/940cf5e9-a4c7-4ea4-b42a-28c3ed9ec48a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/994a0461-1390-4f22-b28d-14969b9ab478
ARMATUUR_SCHIJNWERPER,*,_,**,_,OV,_,ARMATUUR,_,SCHIJNWERPER,_,,_,,_,,_,,-,,-,,,SOV-ARMATUUR_SCHIJNWERPER,*_**_OV_ARMATUUR_SCHIJNWERPER,0.18,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,V-CONTINUOUS-SO,0.35,190,192,190,190,252,CONTINUOUS,,,892,887.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/2b992b57-8b8e-4ce1-8059-000d695b17b6,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/994a0461-1390-4f22-b28d-14969b9ab478
HULPSTUK_LAS,*,_,**,_,OV,_,HULPSTUK,_,LAS,_,,_,,_,,_,,-,,-,,,SOV-HULP_LAS,*_**_OV_HULPSTUK_LAS,0.18,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,V-CONTINUOUS-SO,0.35,190,192,190,190,252,CONTINUOUS,,,3534,893.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c9c8116d-b73b-4dbe-9f0f-528ec2cb4779,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ddf63296-a204-4b6a-836b-ff7c74fb279b
HULPSTUK_MOF,*,_,**,_,OV,_,HULPSTUK,_,MOF,_,,_,,_,,_,,-,,-,,,SOV-HULP_MOF,*_**_OV_HULPSTUK_MOF,0.18,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,V-CONTINUOUS-SO,0.35,190,192,190,190,252,CONTINUOUS,,,895,893.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/dc83bed8-4344-4a7a-99a9-78c5a7365578,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ddf63296-a204-4b6a-836b-ff7c74fb279b
HULPSTUK_AANSLUITPUNT,*,_,**,_,OV,_,HULPSTUK,_,AANSLUITPUNT,_,,_,,_,,_,,-,,-,,,SOV-HULP_AANSLUITPUNT,*_**_OV_HULPSTUK_AANSLUITPUNT,0.18,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,V-CONTINUOUS-SO,0.35,190,192,190,190,252,CONTINUOUS,,,894,893.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4b7c5766-efac-498d-9690-876754eb81a1,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ddf63296-a204-4b6a-836b-ff7c74fb279b
KABELROL,*,_,**,_,OV,_,KABELROL,_,,_,,_,,_,,_,,-,,-,,,SOV-KABELROL,*_**_OV_KABELROL,0.18,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,V-CONTINUOUS-SO,0.35,190,192,190,190,252,CONTINUOUS,,,906,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d1c0f882-3d62-4243-a019-b42f77254179,
KAST,*,_,**,_,OV,_,KAST,_,,_,,_,,_,,_,,-,,-,,,SOV-KAST,*_**_OV_KAST,0.18,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,CONTINUOUS,0.35,190,192,190,190,252,V-CONTINUOUS-SO,0.35,190,192,190,190,252,CONTINUOUS,,,907,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/fdabfeba-02ff-4097-8662-f8018506179f,
ARMATUUR,*,_,**,_,OV,_,ARMATUUR,_,,_,,_,,_,,_,,-,,-,,,SOV-ARMATUUR,*_**_OV_ARMATUUR,0.18,7,7,7,7,252,CONTINUOUS,0.35,7,7,7,7,252,CONTINUOUS,0.35,7,7,7,7,252,V-CONTINUOUS-SO,0.35,7,7,7,7,252,CONTINUOUS,,,887,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/994a0461-1390-4f22-b28d-14969b9ab478,
AARDING,*,_,**,_,OV,_,AARDING,_,,_,,_,,_,,_,,-,,-,,,SOV-AARDING,*_**_OV_AARDING,0.18,7,7,7,7,252,OV-AARDING-SO,0.35,7,7,7,7,252,OV-AARDING-SO,0.35,7,7,7,7,252,V-OV-AARDING-SO,0.35,7,7,7,7,252,OV-AARDING-SO,,,3531,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8d3c773b-ddb5-47df-8846-5c954fd7eb08,
